congress,start_date,chamber,state_abbrev,party_code,bioname,bioguide_id,birthday,cmltv_cong,cmltv_chamber,age_days,age_years,generation
92,1/3/1971,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,4,4,16061,43.97262149,Greatest
93,1/3/1973,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,5,5,16792,45.97399042,Greatest
94,1/3/1975,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,6,6,17522,47.97262149,Greatest
95,1/3/1977,House,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,7,7,18253,49.97399042,Greatest
100,1/3/1987,Senate,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,8,1,21905,59.97262149,Greatest
101,1/3/1989,Senate,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,9,2,22636,61.97399042,Greatest
102,1/3/1991,Senate,WA,100,"ADAMS, Brockman (Brock)",A000031,1/13/1927,10,3,23366,63.97262149,Greatest
79,1/3/1945,House,NH,200,"ADAMS, Sherman",A000046,1899-01-08,1,1,16796,45.98494182,Lost
73,3/4/1933,House,DE,100,"ADAMS, Wilbur Louis",A000050,1884-10-23,1,1,17663,48.35865845,Lost
87,1/3/1961,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,1,1,13076,35.80013689,Greatest
88,1/3/1963,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,2,2,13806,37.79876797,Greatest
89,1/3/1965,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,3,3,14537,39.80013689,Greatest
90,1/3/1967,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,4,4,15267,41.79876797,Greatest
91,1/3/1969,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,5,5,15998,43.80013689,Greatest
92,1/3/1971,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,6,6,16728,45.79876797,Greatest
93,1/3/1973,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,7,7,17459,47.80013689,Greatest
94,1/3/1975,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,8,8,18189,49.79876797,Greatest
95,1/3/1977,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,9,9,18920,51.80013689,Greatest
96,1/3/1979,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,10,10,19650,53.79876797,Greatest
97,1/3/1981,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,11,11,20381,55.80013689,Greatest
98,1/3/1983,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,12,12,21111,57.79876797,Greatest
99,1/3/1985,House,NY,100,"ADDABBO, Joseph Patrick",A000052,3/17/1925,13,13,21842,59.80013689,Greatest
81,1/3/1949,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1/31/1914,1,1,12756,34.92402464,Greatest
82,1/3/1951,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1/31/1914,2,2,13486,36.92265572,Greatest
83,1/3/1953,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1/31/1914,3,3,14217,38.92402464,Greatest
84,1/3/1955,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1/31/1914,4,4,14947,40.92265572,Greatest
85,1/3/1957,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1/31/1914,5,5,15678,42.92402464,Greatest
86,1/3/1959,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1/31/1914,6,6,16408,44.92265572,Greatest
87,1/3/1961,House,NJ,100,"ADDONIZIO, Hugh Joseph",A000054,1/31/1914,7,7,17139,46.92402464,Greatest
105,1/3/1997,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,1,1,11488,31.45242984,Gen X
106,1/3/1999,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,2,2,12218,33.45106092,Gen X
107,1/3/2001,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,3,3,12949,35.45242984,Gen X
108,1/3/2003,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,4,4,13679,37.45106092,Gen X
109,1/3/2005,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,5,5,14410,39.45242984,Gen X
110,1/3/2007,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,6,6,15140,41.45106092,Gen X
111,1/3/2009,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,7,7,15871,43.45242984,Gen X
112,1/3/2011,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,8,8,16601,45.45106092,Gen X
113,1/3/2013,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,9,9,17332,47.45242984,Gen X
114,1/3/2015,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,10,10,18062,49.45106092,Gen X
115,1/3/2017,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,11,11,18793,51.45242984,Gen X
116,1/3/2019,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,12,12,19523,53.45106092,Gen X
117,1/3/2021,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,13,13,20254,55.45242984,Gen X
118,1/3/2023,House,AL,200,"ADERHOLT, Robert",A000055,7/22/1965,14,14,20984,57.45106092,Gen X
69,3/4/1925,House,IL,200,"ADKINS, Charles",A000057,1863-02-07,1,1,22670,62.06707734,Missionary
70,3/4/1927,House,IL,200,"ADKINS, Charles",A000057,1863-02-07,2,2,23400,64.06570842,Missionary
71,3/4/1929,House,IL,200,"ADKINS, Charles",A000057,1863-02-07,3,3,24131,66.06707734,Missionary
72,3/4/1931,House,IL,200,"ADKINS, Charles",A000057,1863-02-07,4,4,24861,68.06570842,Missionary
77,1/3/1941,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,1,1,17667,48.36960986,Lost
78,1/3/1943,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,2,2,18397,50.36824093,Lost
79,1/3/1945,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,3,3,19128,52.36960986,Lost
80,1/3/1947,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,4,4,19858,54.36824093,Lost
81,1/3/1949,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,5,5,20589,56.36960986,Lost
82,1/3/1951,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,6,6,21319,58.36824093,Lost
83,1/3/1953,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,7,7,22050,60.36960986,Lost
84,1/3/1955,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,8,8,22780,62.36824093,Lost
85,1/3/1957,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,9,9,23511,64.36960986,Lost
86,1/3/1959,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,10,10,24241,66.36824093,Lost
87,1/3/1961,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,11,11,24972,68.36960986,Lost
88,1/3/1963,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,12,12,25702,70.36824093,Lost
89,1/3/1965,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,13,13,26433,72.36960986,Lost
90,1/3/1967,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,14,14,27163,74.36824093,Lost
91,1/3/1969,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,15,15,27894,76.36960986,Lost
92,1/3/1971,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,16,16,28624,78.36824093,Lost
93,1/3/1973,Senate,VT,200,"AIKEN, George David",A000062,1892-08-20,17,17,29355,80.36960986,Lost
95,1/3/1977,House,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,1,1,19107,52.31211499,Greatest
96,1/3/1979,House,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,2,2,19837,54.31074606,Greatest
97,1/3/1981,House,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,3,3,20568,56.31211499,Greatest
98,1/3/1983,House,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,4,4,21298,58.31074606,Greatest
99,1/3/1985,House,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,5,5,22029,60.31211499,Greatest
100,1/3/1987,House,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,6,6,22759,62.31074606,Greatest
101,1/3/1989,House,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,7,7,23490,64.31211499,Greatest
102,1/3/1991,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,8,1,24220,66.31074606,Greatest
103,1/3/1993,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,9,2,24951,68.31211499,Greatest
104,1/3/1995,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,10,3,25681,70.31074606,Greatest
105,1/3/1997,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,11,4,26412,72.31211499,Greatest
106,1/3/1999,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,12,5,27142,74.31074606,Greatest
107,1/3/2001,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,13,6,27873,76.31211499,Greatest
108,1/3/2003,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,14,7,28603,78.31074606,Greatest
109,1/3/2005,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,15,8,29334,80.31211499,Greatest
110,1/3/2007,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,16,9,30064,82.31074606,Greatest
111,1/3/2009,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,17,10,30795,84.31211499,Greatest
112,1/3/2011,Senate,HI,100,"AKAKA, Daniel Kahikina",A000069,9/11/1924,18,11,31525,86.31074606,Greatest
75,1/3/1937,House,OH,200,"ALBAUGH, Walter Hugh",A000072,1890-01-02,1,1,17167,47.00068446,Lost
80,1/3/1947,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,1,1,14117,38.65023956,Greatest
81,1/3/1949,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,2,2,14848,40.65160849,Greatest
82,1/3/1951,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,3,3,15578,42.65023956,Greatest
83,1/3/1953,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,4,4,16309,44.65160849,Greatest
84,1/3/1955,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,5,5,17039,46.65023956,Greatest
85,1/3/1957,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,6,6,17770,48.65160849,Greatest
86,1/3/1959,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,7,7,18500,50.65023956,Greatest
87,1/3/1961,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,8,8,19231,52.65160849,Greatest
88,1/3/1963,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,9,9,19961,54.65023956,Greatest
89,1/3/1965,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,10,10,20692,56.65160849,Greatest
90,1/3/1967,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,11,11,21422,58.65023956,Greatest
91,1/3/1969,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,12,12,22153,60.65160849,Greatest
92,1/3/1971,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,13,13,22883,62.65023956,Greatest
93,1/3/1973,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,14,14,23614,64.65160849,Greatest
94,1/3/1975,House,OK,100,"ALBERT, Carl Bert",A000073,5/10/1908,15,15,24344,66.65023956,Greatest
96,1/3/1979,House,MI,100,"ALBOSTA, Donald Joseph",A000076,12/5/1925,1,1,19387,53.07871321,Greatest
97,1/3/1981,House,MI,100,"ALBOSTA, Donald Joseph",A000076,12/5/1925,2,2,20118,55.08008214,Greatest
98,1/3/1983,House,MI,100,"ALBOSTA, Donald Joseph",A000076,12/5/1925,3,3,20848,57.07871321,Greatest
68,3/4/1923,House,RI,200,"ALDRICH, Richard Steere",A000084,1884-02-29,1,1,14247,39.00616016,Lost
69,3/4/1925,House,RI,200,"ALDRICH, Richard Steere",A000084,1884-02-29,2,2,14978,41.00752909,Lost
70,3/4/1927,House,RI,200,"ALDRICH, Richard Steere",A000084,1884-02-29,3,3,15708,43.00616016,Lost
71,3/4/1929,House,RI,200,"ALDRICH, Richard Steere",A000084,1884-02-29,4,4,16439,45.00752909,Lost
72,3/4/1931,House,RI,200,"ALDRICH, Richard Steere",A000084,1884-02-29,5,5,17169,47.00616016,Lost
75,1/3/1937,House,OH,100,"ALESHIRE, Arthur William",A000088,2/15/1900,1,1,13471,36.88158795,Lost
83,1/3/1953,House,NC,100,"ALEXANDER, Hugh Quincy",A000094,8/7/1911,1,1,15125,41.40999316,Greatest
84,1/3/1955,House,NC,100,"ALEXANDER, Hugh Quincy",A000094,8/7/1911,2,2,15855,43.40862423,Greatest
85,1/3/1957,House,NC,100,"ALEXANDER, Hugh Quincy",A000094,8/7/1911,3,3,16586,45.40999316,Greatest
86,1/3/1959,House,NC,100,"ALEXANDER, Hugh Quincy",A000094,8/7/1911,4,4,17316,47.40862423,Greatest
87,1/3/1961,House,NC,100,"ALEXANDER, Hugh Quincy",A000094,8/7/1911,5,5,18047,49.40999316,Greatest
76,1/3/1939,House,MN,200,"ALEXANDER, John Grant",A000097,1893-07-16,1,1,16606,45.46475017,Lost
66,3/4/1919,House,MO,100,"ALEXANDER, Joshua Willis",A000098,1852-01-22,7,7,24512,67.11019849,Progressive
91,1/3/1969,House,AR,100,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1/16/1934,1,1,12771,34.9650924,Silent
92,1/3/1971,House,AR,100,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1/16/1934,2,2,13501,36.96372348,Silent
93,1/3/1973,House,AR,100,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1/16/1934,3,3,14232,38.9650924,Silent
94,1/3/1975,House,AR,100,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1/16/1934,4,4,14962,40.96372348,Silent
95,1/3/1977,House,AR,100,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1/16/1934,5,5,15693,42.9650924,Silent
96,1/3/1979,House,AR,100,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1/16/1934,6,6,16423,44.96372348,Silent
97,1/3/1981,House,AR,100,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1/16/1934,7,7,17154,46.9650924,Silent
98,1/3/1983,House,AR,100,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1/16/1934,8,8,17884,48.96372348,Silent
